date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-08-17,3253.85,3269.14,3268.43,3251.46,2036225.5,21.98,0.68,3242.408,3257.277,3258.969,2032164.8,2251488.17,2251809.1
2017-08-16,3247.85,3248.79,3246.45,3228.87,1768520.5,-4.81,-0.15,3241.072,3257.727,3257.791,2106288.95,2281142.63,2266052.03
2017-08-15,3235.23,3263.59,3251.26,3235.1,1822980.0,13.9,0.43,3246.896,3261.588,3257.018,2223780.65,2371021.2,2313836.36
2017-08-14,3206.04,3240.05,3237.36,3206.04,1903468.0,28.82,0.9,3253.018,3265.726,3253.833,2363271.7,2425917.8,2317998.89
2017-08-11,3237.92,3245.12,3208.54,3200.75,2629630.0,-53.21,-1.63,3261.438,3269.293,3250.788,2444924.85,2481610.45,2355928.13
2017-08-10,3269.73,3282.52,3261.75,3236.18,2406846.25,-13.82,-0.42,3272.146,3273.763,3251.482,2470811.55,2400874.33,2304510.02
2017-08-09,3277.81,3277.94,3275.57,3263.85,2355979.0,-6.3,-0.19,3274.382,3272.566,3249.303,2455996.3,2388675.65,2281819.51
2017-08-08,3277.19,3285.48,3281.87,3269.66,2520435.25,2.41,0.07,3276.28,3269.776,3245.401,2518261.75,2366619.75,2257471.0
2017-08-07,3257.67,3280.1,3279.46,3243.72,2311733.75,17.38,0.53,3278.434,3265.958,3241.46,2488563.9,2320150.1,2225367.87
2017-08-04,3269.32,3287.19,3262.08,3261.31,2759063.5,-10.85,-0.33,3277.148,3263.072,3238.118,2518296.05,2322033.13,2209245.19
2017-08-03,3279.99,3293.37,3272.93,3262.16,2332770.0,-12.13,-0.37,3275.38,3260.662,3235.912,2330937.1,2252130.03,2159649.72
2017-08-02,3288.52,3305.43,3285.06,3282.04,2667306.25,-7.58,-0.23,3270.75,3257.855,3232.888,2321355.0,2250961.42,2130915.86
2017-08-01,3274.37,3292.64,3292.64,3273.5,2371946.0,19.61,0.6,3263.272,3252.447,3228.991,2214977.75,2256651.53,2071698.79
2017-07-31,3252.75,3276.95,3273.03,3251.19,2460394.5,19.79,0.61,3253.482,3241.94,3223.499,2151736.3,2210079.99,2023658.97
2017-07-28,3240.17,3256.37,3253.24,3232.96,1822268.75,3.46,0.11,3248.996,3232.283,3219.643,2125770.2,2230245.81,1970792.11
2017-07-27,3243.77,3251.93,3249.78,3220.64,2284859.5,2.11,0.07,3245.944,3229.201,3216.603,2173322.95,2208145.71,1940410.94
2017-07-26,3244.46,3264.85,3247.67,3228.04,2135420.0,3.98,0.12,3244.96,3226.039,3213.516,2180567.85,2174963.37,1890545.7
2017-07-25,3249.14,3261.65,3243.69,3233.14,2055738.75,-6.91,-0.21,3241.622,3221.026,3209.793,2298325.3,2148322.25,1857033.06
2017-07-24,3230.9,3261.1,3250.6,3230.07,2330564.0,12.62,0.39,3230.398,3216.961,3207.169,2268423.67,2130585.64,1828346.72
2017-07-21,3236.59,3247.71,3237.98,3231.96,2060032.5,-6.88,-0.21,3215.57,3213.164,3203.911,2334721.42,2096457.25,1798608.13
2017-07-20,3227.51,3246.24,3244.86,3225.43,2321084.0,13.88,0.43,3212.458,3211.162,3199.905,2242968.47,2067169.41,1773028.33
2017-07-19,3181.4,3232.94,3230.98,3179.73,2724207.25,43.41,1.36,3207.118,3207.92,3195.035,2169358.9,2010870.3,1752646.13
2017-07-18,3159.73,3187.67,3187.57,3150.13,1906230.62,11.11,0.35,3200.43,3205.535,3191.296,1998319.2,1886746.06,1684779.9
2017-07-17,3219.79,3230.35,3176.46,3139.5,2662052.75,-45.96,-1.43,3203.524,3205.058,3188.918,1992747.6,1837237.96,1660064.27
2017-07-14,3212.03,3222.98,3222.42,3204.85,1601267.75,4.26,0.13,3210.758,3207.003,3187.313,1858193.07,1711338.4,1594407.51
2017-07-13,3192.36,3219.27,3218.16,3190.34,1953036.12,20.62,0.65,3209.866,3204.004,3182.351,1891370.35,1672676.16,1579170.5
2017-07-12,3201.93,3215.2,3197.54,3177.93,1869008.75,-5.5,-0.17,3208.722,3200.994,3178.068,1852381.7,1606128.02,1554995.82
2017-07-11,3201.52,3226.91,3203.04,3199.22,1878372.62,-9.59,-0.3,3210.64,3198.56,3174.724,1775172.92,1565743.87,1530718.91
2017-07-10,3208.46,3223.34,3212.63,3203.21,1989280.12,-5.33,-0.17,3206.592,3197.376,3172.259,1681728.32,1526107.81,1500959.41
2017-07-07,3203.82,3219.52,3217.96,3195.29,1767154.12,5.52,0.17,3203.248,3194.657,3168.621,1564483.72,1500759.01,1474860.12
2017-07-06,3203.86,3215.95,3212.44,3188.77,1758092.88,5.31,0.17,3198.142,3188.648,3165.643,1453981.98,1478887.25,1466570.58
2017-07-05,3179.22,3207.31,3207.13,3174.71,1482964.88,24.33,0.76,3193.266,3182.149,3162.538,1359874.35,1494421.96,1454804.77
2017-07-04,3192.89,3193.06,3182.8,3174.31,1411149.62,-13.11,-0.41,3186.48,3177.057,3159.197,1356314.82,1482813.74,1467271.03
2017-07-03,3192.0,3196.29,3195.91,3177.02,1403057.12,3.48,0.11,3188.16,3172.778,3155.164,1370487.3,1482890.57,1453433.53
